"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
04/24/2021 14:14:05,Send,0xcce8d1f36fcb59f6c40aaef35719b5347fcf2518577771768de9e1164cb7f1a7,,,,,,,,,0.00000000,ETH,0.03699333,0.00,ETH Wallet ...b622cF - ETH,0x7A178467296f9723f8F245d87F07851163b622cF,,,0.00587924,ETH,0.00,
04/24/2021 16:46:26,Buy,,0.04291211,ETH,2.01741478,100.00,Coinbase - ETH Wallet,,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,100.00,USD,,,Coinbase - Cash (USD),,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,2.99,USD,,
04/24/2021 16:59:16,Buy,,0.00392458,BTC,0.00802990,200.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - TOTAL CHECKING *****6925,200.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - TOTAL CHECKING *****6925,2.99,USD,,
04/25/2021 19:47:52,Receive,,0.02770006,FORTH,0.02770006,1.00,Coinbase - FORTH Wallet,,Payment,Received Ampleforth Governance Token From Coinbase Earn,,,,,,,,,,,,
04/25/2021 19:48:42,Receive,,0.02760677,FORTH,0.05530683,1.00,Coinbase - FORTH Wallet,,Payment,Received Ampleforth Governance Token From Coinbase Earn,,,,,,,,,,,,
04/25/2021 19:49:00,Receive,,0.02760677,FORTH,0.08291360,1.00,Coinbase - FORTH Wallet,,Payment,Received Ampleforth Governance Token From Coinbase Earn,,,,,,,,,,,,
04/25/2021 19:52:10,Trade,,0.00128263,ETH,2.01869741,2.99,Coinbase - ETH Wallet,,,Converted from Ampleforth Governance Token Using FORTH Wallet,0.08291360,FORTH,0.00000000,3.00,Coinbase - FORTH Wallet,,,Converted from Ampleforth Governance Token Using FORTH Wallet,,,-0.01,
04/26/2021 05:09:49,Buy,,0.00367140,ETH,2.02236881,10.00,Coinbase - ETH Wallet,,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,10.00,USD,,,Coinbase - Cash (USD),,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,0.99,USD,,
04/26/2021 15:15:51,Trade,,8.98216200,USDC,8.98216200,10.00,Coinbase - USDC Wallet,,,Converted from Polygon Using MATIC Wallet,20.29838628,MATIC,103.92485292,9.00,Coinbase - MATIC Wallet,,,Converted from Polygon Using MATIC Wallet,0.99000000,USDC,1.00,
04/27/2021 22:52:54,Trade,,24.83643400,USDC,33.81859600,27.00,Coinbase - USDC Wallet,,,Converted from Cardano Using ADA Wallet,20.75486200,ADA,271.36995800,29.42,Coinbase - ADA Wallet,,,Converted from Cardano Using ADA Wallet,1.99000000,USDC,-2.42,
04/27/2021 22:53:57,Trade,,27.82568700,USDC,61.64428300,30.00,Coinbase - USDC Wallet,,,Converted from Cosmos Using ATOM Wallet,1.30463100,ATOM,5.07081500,24.18,Coinbase - ATOM Wallet,,,Converted from Cosmos Using ATOM Wallet,1.99000000,USDC,5.82,
04/27/2021 22:55:00,Trade,,18.43784900,USDC,80.08213200,20.00,Coinbase - USDC Wallet,,,Converted from Polygon Using MATIC Wallet,26.70761835,MATIC,77.21723457,11.77,Coinbase - MATIC Wallet,,,Converted from Polygon Using MATIC Wallet,1.49000000,USDC,8.23,
04/30/2021 04:07:05,Receive,,150.00000000,ONE,442.00000000,22.94,Imported Wallet - Crypto.com Wallet - ONE,,,Buy ONE,,,,,,,,,,,,
04/30/2021 04:09:11,Receive,,120.00000000,VET,,24.25,Imported Wallet - Crypto.com Wallet - VET,,,Buy VET,,,,,,,,,,,,
04/30/2021 13:37:13,Receive,,0.00679600,ATOM,5.07761100,0.16,Coinbase - ATOM Wallet,,Staked,Cosmos reward From Coinbase,,,,,,,,,,,,
05/02/2021 03:33:32,Receive,,200.00000000,ONE,642.00000000,28.10,Imported Wallet - Crypto.com Wallet - ONE,,,Buy ONE,,,,,,,,,,,,
